id,time,time_received,latitude,longitude,altitude,geo_altitude,height,velocity_x,velocity_y,velocity_z,vertical_accuracy,horizontal_accuracy,speed_accuracy,pressure
8115311,2023-04-03 09:02:19+00,2023-04-03 09:02:38.07703+00,50.035438537597656,14.408196449279785,96.97,247.5,-27.24,-1.4000000000000001,20.200000000000003,0.2,4,10,3,1001.65625
8115312,2023-04-03 09:02:20+00,2023-04-03 09:02:38.11623+00,50.03561782836914,14.408190727233887,101.81,248,-22.4,-0.4,20.200000000000003,0.2,4,10,4,1001.0812500000001
8115313,2023-04-03 09:02:21+00,2023-04-03 09:02:38.227927+00,50.03580093383789,14.408195495605469,97.55,248,-26.66,0.4,20.200000000000003,0.2,4,10,3,1001.5875000000001
8115314,2023-04-03 09:02:22+00,2023-04-03 09:02:38.730413+00,50.03598403930664,14.40820598602295,96.76,248.5,-27.45,0.8,20.200000000000003,0.2,4,10,3,1001.6812500000001
8115315,2023-04-03 09:02:23+00,2023-04-03 09:02:38.767224+00,50.036155700683594,14.408221244812012,94.66,248.5,-29.55,1,19.200000000000003,0.2,4,10,4,1001.9312500000001
8115316,2023-04-03 09:02:24+00,2023-04-03 09:02:38.809877+00,50.036319732666016,14.408236503601074,96.29,249,-27.92,1.2000000000000002,18.2,0.2,4,10,4,1001.7375000000001
8115317,2023-04-03 09:02:25+00,2023-04-03 09:02:38.847248+00,50.03648376464844,14.408252716064453,99.39,249,-24.82,1,17.8,0.2,4,10,3,1001.3687500000001
8115318,2023-04-03 09:02:26+00,2023-04-03 09:02:38.964698+00,50.036643981933594,14.408266067504883,95.82,249.5,-28.39,0.8,17.6,0.2,4,10,3,1001.79375
8115319,2023-04-03 09:02:27+00,2023-04-03 09:02:39.000793+00,50.03680419921875,14.408270835876465,93.61,249.5,-30.6,0.2,17.8,0.2,4,10,3,1002.0562500000001
8115320,2023-04-03 09:02:28+00,2023-04-03 09:02:39.044724+00,50.03696823120117,14.408266067504883,96.24,250.5,-27.97,0,17.8,0,4,10,3,1001.7437500000001
8115321,2023-04-03 09:02:30+00,2023-04-03 09:02:39.129274+00,50.037296295166016,14.408228874206543,97.97,251,-26.24,-1.6,18.2,0.2,4,10,3,1001.5375
8115322,2023-04-03 09:02:31+00,2023-04-03 09:02:39.177615+00,50.03745651245117,14.408191680908203,100.39,251.5,-23.82,-2.4000000000000004,18,0.4,4,10,3,1001.25
8115323,2023-04-03 09:02:32+00,2023-04-03 09:02:39.256205+00,50.037620544433594,14.408143997192383,98.13,252,-26.08,-3.4000000000000004,17.8,0.4,4,10,3,1001.5187500000001
8115324,2023-04-03 09:02:33+00,2023-04-03 09:02:39.293158+00,50.03778076171875,14.408077239990234,102.54,251.5,-21.67,-4.6000000000000005,17.8,0,4,10,3,1000.9937500000001
8115325,2023-04-03 09:02:34+00,2023-04-03 09:02:39.442545+00,50.03793716430664,14.407995223999023,101.39,252,-22.82,-5.6000000000000005,17.6,0.2,4,10,3,1001.13125
8115326,2023-04-03 09:02:35+00,2023-04-03 09:02:39.477419+00,50.038089752197266,14.407902717590332,97.55,252,-26.66,-6.4,17.2,0,4,10,3,1001.5875000000001
8115327,2023-04-03 09:02:36+00,2023-04-03 09:02:39.526311+00,50.03824234008789,14.407801628112793,97.18,251.5,-27.03,-7.2,16.8,0,4,10,4,1001.63125
8115328,2023-04-03 09:02:37+00,2023-04-03 09:02:39.567541+00,50.038394927978516,14.407692909240723,94.66,251.5,-29.55,-7.800000000000001,16.6,0,4,10,3,1001.9312500000001
8115329,2023-04-03 09:02:38+00,2023-04-03 09:02:39.628943+00,50.03853988647461,14.407577514648438,98.39,251.5,-25.82,-8.200000000000001,16.400000000000002,0,4,10,3,1001.4875000000001
8115330,2023-04-03 09:02:39+00,2023-04-03 09:02:39.931246+00,50.03868865966797,14.40745735168457,98.23,251.5,-25.98,-8.4,16.2,0,4,10,3,1001.50625
8115331,2023-04-03 09:02:40+00,2023-04-03 09:02:40.438184+00,50.03883361816406,14.407337188720703,102.02,251,-22.19,-8.6,16,0,4,10,3,1001.0562500000001
8115332,2023-04-03 09:02:41+00,2023-04-03 09:02:41.813156+00,50.03897476196289,14.40721607208252,101.12,251,-23.09,-8.6,15.8,0,4,10,3,1001.1625
8115333,2023-04-03 09:02:42+00,2023-04-03 09:02:42.323643+00,50.03911590576172,14.407098770141602,101.91,251,-22.3,-8.4,15.8,-0.2,4,10,4,1001.06875
8115334,2023-04-03 09:02:43+00,2023-04-03 09:02:46.452082+00,50.03925704956055,14.406980514526367,100.02,251,-24.19,-8.200000000000001,15.600000000000001,0,4,10,4,1001.29375
